root	arity	eng	tags	predilex_id
tʼá		{{unary lambda variable #1}}		
ltʼá		{{unary lambda variable #2}}		
cʼí		{{binary lambda variable #1}}		
kʼú		{{binary lambda variable #2}}		
pʼé		{{ternary lambda variable #1}}		
čʼı̋		{{ternary lambda variable #2}}		
qʼó		{{ternary lambda variable #3}}		
ní	1	➊ is me.	deixis	lukayu
kí	1	➊ is you.	deixis	yilawu
ŋkí	1	➊ is me together with you.	deixis	teleyo
pí	2	➊ has part ➋.	mereology basic	dibere
yá	1	➊ is something.	logic	gisiwu
kwáı	1	➊ is true, is the case.	logic	tunabe
pθú	3	➊ are in relation ➋ with differen things.	logic	padita
kwíyu	2	➊ are in recipriocal relation ➋.	logic	josuma
’áı	2	➊ and ➋ are both the case.	logic conjunction	talage
kú	1	Everything has property ➊.	logic quantification	fafine
cwáı	2	having property ➊ is frequent, common among what has property ➋.	logic quantification	gakile
cı̋	1	➊ is one in number.	cardinality	wehuke
páı	1	➊ is more than one in number.	cardinality	hanona
rú	1	➊ are two in number.	cardinality	qudase
káı	1	➊ are three in number.	cardinality	kiraya
qó	1	➊ are four in number.	cardinality	kaseti
néq	1	➊ are five in number.	cardinality	kuyope
ƛʼóı	1	➊ is pain.	perception	busoni
lúq	1	➊ is cold.	perception	jibuda
ƛéo	3	➊ computes that ➋ is the answer to what has property ➌.	cognition	woqihi
sƛéo	2	➊ is computing the answer to what has property ➋.	cognition	kewapo
tʰán	2	➊ has a size of ➋, the distance between the two points on it which are farthest apart.	physical_property	tuweno
ƛú	2	➊ drinks ➋.	action body_action	cewide
ñú	2	➊ eats ➋.	action body_action	qayiho
yı̋	3	➊ displays to ➋ property ➌.	action communication	lesuja
ráwa	2	➊ talks to ➋.	action communication	juweku
qárı	1	➊ is a leg (ambulatory appendage).	body_part	yeqave
qán	1	➊ is a hind leg.	body_part	maqawo
łáı	1	➊ is a leaf (of a plant).	body_part	zozawe
ñı̋	1	➊ is a nose.	body_part	tuhoji
’áo	1	➊ is an eye.	body_part	jovonu
ʎúq	1	➊ is a tail.	body_part	fuvika
rı̋’	1	➊ is an ear (including outer and inner ear).	body_part	qiceva
né	1	➊ is a hand.	body_part	tehihi
qʼí	1	➊ is a bone.	body_part bone	hobewe
lóθ	1	➊ is blood.	body_part inner_organ	gefore
páƛ	1	➊ is a root (of a plant).	body_part plant_body_part	diceva
sáʼ	1	➊ is awake.	biology	rewoma
yó	1	➊ is an egg (possibly unfertilized).	biology	fuqilo
yónƛe	1	➊ is a seed.	biology	dorawo
cáı	1	➊ is alive.	biology	yogije
qʼúlu	1	➊ is dead, is a dead body, a cadaver.	biology	miqimi
šác	1	➊ is sand.	material	cicuva
cʼáo	1	➊ is snow.	material	ladata
łí	1	➊ is powder.	material_structure	fipayi
ršı̋ʎï	1	➊ is rain water.	substance	lefame
kálı	1	➊ is a book.	artifact	vijutu
pálï’	1	➊ is a hat.	artifact clothing	riqawe
ƛéra	1	➊ is a harp.	artifact musical_instrument string_instrument	lozimu
ƛáok	1	➊ is a mountain or hill.	geographic_feature	giwupu
łı̋ro	1	➊ is a river.	geographic_feature	fujofa
ná	1	➊ is a langage.	linguistics	lasofe
sé’	1	➊ is a cloud.	natural_feature weather	noneyi
kʼao	1	➊ is fire.	natural_phenomenon	jaqare
lı̋	1	➊ is asleep.		givera
stíñu	1	➊ is prepared food.		ridufi
háłu	1	➊ is gravel.		timisi
ʎú	3	➊ goes from ➋ to ➌.		jogavu
qúʎu	2	➊ is wet with liquid ➋.		kupaka
tʼí	1	➊ is a bird.	lifeform animal vertebrate bird	daliwe
púpu, tʼípupu	1	➊ is a typical cuckoo (Cuculus genus).	lifeform animal vertebrate bird	yicaga
lúc	1	➊ is a fish.	lifeform animal vertebrate fish	buzote
kóyu	1	➊ is a dog.	lifeform animal vertebrate mammal	yobanu
ƛúrı	1	➊ is a cat.	lifeform animal vertebrate mammal	fufuki
nƛé	1	➊ is a plant.	lifeform plant	dayilu
rópo	1	➊ is a tomato.	lifeform plant fruit	seruwi
nóko	1	➊ is an apple.	lifeform plant fruit	nahala
ƛʰáı	1	➊ is a tree.	lifeform plant tree	tiliva
wá		➊ has property ⦃DP⦄.		pohuti{➊,🅓}
ráʼ		➊ and ➋ are in binary relation ⦃DP⦄.		nikatu{➊,➋,🅓}
káoʼ		➊, ➋ and ➌ are in ternary relation ⦃DP⦄.		dotuye{➊,➋,➌,🅓}
qóweʼ		➊, ➋, ➌ and ➍ are in quaternary relation ⦃DP⦄.		gotavi{➊,➋,➌,➍,🅓}
náhaıwa		➊ is the Nahaıwa language.		yeliwa
qánwe		➊ is a human.		wayami
pá		➊ says ➋.		wasaki
yı̋pa		➊ says to ➋ utterance ➌.		daraki
nčal		I now assert to you that ➊ is the case.		yewaru
čál		➊ asserts that ➋ is the case.		royewa
yı̋čal		➊ asserts to ➋ that ➌ is the case.		yewima
łčál		➊ jokingly asserts that ➋ is the case.		yuzocu
náyu		➊ feels loves, affection towards ➋.		hiyuwa
stí		➊ is made for the function of being such that something is in relation ➋ with the former.		faziha
néš		➊ is a bee.		zayami
lóya		➊ is a sky.		zayawa
łéo		➊ is a color.		
kʼáı		➊ is light (visible electromagnetic radiation).		kayayu
ƛʼé		➊ suffers, feels pain at locus ➋.		qewenu
kíwaƛʰaı		➊ is tree bark.		gaziwa
yópaƛ		➊ is a tubercule.		fucono
ʎı̋		➊ is water (in any physical state).		seliwa
qʰáʼ		➊ is stone.		takupa
nte		➊ reads, decypher symbolic code ➋ as encoding data ➌.		jabaye
ƛéona’		➊ understands, interprets the meaning of ➋ as being ➌.		kimana
ná’		➊ has meaning ➋.		
qʰá		➊ causes ➋.		yajana
tʰú		➊ finds ➋ very likely, expects it to be true, has confidence in it being the case.		
cál		➊ sees stimulus ➋.		
cáo		➊ sees view ➋.		
ƛícal		➊ looks at ➋.		
ƛí		➊ touches ➋.		
yáo		➊ greets ➋, expressing well-intentionedness and acknowledgement of presence. ⸨Used upon encounter but not upon parting.⸩		
yéʼ		➊ verbally requests attention from ➋ in order to initiate communication.		
čʰán		➊ interacts socially with ➋.		
cʼék		➊ is a blade ⁓ knife.		
yáı		➊ uses, manipulates, exercises influence upon ➋ in order to achieve the goal of satisfying property ➌.		fuyayi
pʰú		➊ falls.		
ršı̋		➊ rains.		nirunu
kíwa		➊ is skin (body part).		soyaba
cʰól		➊ is a building.		zomayi
qrá / tʼíqra		➊ belongs to the Corvus genus (ravens, crows, jackdaws, rooks).		haraka
pʼúh		➊ explodes.		papaku
nóq		➊ is a potato.		guluna
θíwa		➊ is a flute.		sifana
pyáno		➊ is a piano.		pepiyi
